full_address,lat,lon
"2 HECKEL RD, MCKEES ROCKS, PA, 15136",40.4744423,-80.0948706
"137 CLEVER RD, MCKEES ROCKS, PA, 15136",40.4697391,-80.1003128
"643 LIBERTY AVE, PITTSBURGH, PA, 152223103",40.4425938,-80.0002042
"3915 WILLIAM FLYNN HW, ALLISON PARK, PA, 15101",40.5590483,-79.9596634
"9299 ROUTE 30, IRWIN, PA, 15642",40.3226877,-79.6964386
"321 CAMP HALLOW RD, WEST MIFFLIN, PA, 151222604",40.3488106,-79.9267068
"ONE FOSTERVILLE RD, GREENSBURG, PA, 15601",40.2718922,-79.5807468
"10 W PROSPECT AVE, PITTSBURGH, PA, 15205",40.4452741,-80.0660815
"124 LLOYD AVENUE, LATROBE, PA, 15650",40.3135971,-79.3894058
"140 W. PITTSBURGH, GREENSBURG, PA, 15601",40.3017035,-79.5470846
"4639 CLAIRTON BLVD, PITTSBURGH, PA, 15236",40.3561496,-79.9796414
"195 NORTH CRAIG ST, PITTSBURGH, PA, 15213",40.4494044,-79.9508345
"420 SMITHFIELD ST, Pittsburgh, PA, 15222",40.4391903,-79.9989353
"999 GREENTREE RD, PITTSBURGH, PA, 15220",40.4167441,-80.0446729
"643 LIBERTY AVE, Pittsburgh, PA, 15222-3103",40.4425938,-80.0002042
"1 BIGELOW SQ, Pittsburgh, PA, 15219-3030",40.4404802,-79.9939592
"1360 W CHESTNUT ST, WASHINGTON, PA, 15301",40.1650216,-80.2720298
"60 S GERALD DR, NEWARK, DE, 197133216",39.6749751,-75.6808765
"4775 MCKNIGHT RD, PITTSBURGH, PA, 15237",40.5213158,-80.0055784
"22 GRANT AVE, ETNA, PA, 152231842",40.5040829,-79.9486667
"240 N ROUTE 100, BREINIGSVILLE, PA, 18031",40.5759517,-75.6216271
"1199 THIRD ST, BEAVER, PA, 15009",40.6918933,-80.3121706
"6403 BROWNSVILLE RD, PITTSBURGH, PA, 152363530",40.3219616,-79.9949996
"2680 BRODHEAD ROAD, ALIQUIPPA, PA, 15001",40.6061525,-80.2813483
"791 HORSHAM ROAD, NORTH WALES, PA, 19454",40.2454008,-75.2395882
"1647 N BROAD ST, LANSDALE, PA, 194461113",40.2560892,-75.2681579
"523 RICHLANDTOWN PIKE, RICHLANDTOWN, PA, 189551023",40.4633844,-75.3228379
"1406 WELSH RD, NORTH WALES, PA, 19454",40.2063748,-75.2242958
"1003 E WILLOW GROVE A, GLENSIDE, PA, 190387937",40.0835284,-75.1882213
"2300 S. BROAD STREET, PHILADELPHIA, PA, 191454490",39.9218282,-75.1708197
"400 W JEFFERSON ST, BUTLER, PA, 16001",40.8612856,-79.900816
"6106 SALTBURG RD, VERONA, PA, 15147",40.4840849,-79.8188861
"601 PENN AVE, PITTSBURGH, PA, 152223204",40.4441886,-79.8854329
"544 BROAD STREET, BLOOMFIELD, NJ, 70032705",40.8122531,-74.1944758
"630 BLOOMFIELD AVE, BLOOMFIELD, NJ, 7003",40.7951772,-74.1992912
"122 BLOOMFIELD AVE, BLOOMFIELD, NJ, 7003",40.7780422,-74.1891099
"287 BLOOMFIELD AVE, VERONA, NJ, 7044",40.8272462,-74.2377575
"1023 US HWY 22, NORTH PLAINFIELD, NJ, 7060",40.6177381,-74.4529761
