Address,lon,lat,address,
"CVS 25 PITTSBURGH STREET, UNIONTOWN, PA, 15401",-79.7272804,39.9024284,"25 pittsburgh st, uniontown, pa 15401, usa",
"CVS 131 THIRD ST, MARIETTA, OH, 45750",-81.4515452,39.4136226,"131 3rd st, marietta, oh 45750, usa",
"CVS 1601 Earl L Core Rd, MORGANTOWN, WV, 26505",-79.9261339,39.6253288,"1601 earl l core rd, morgantown, wv 26505, usa",
"CVS 300 FAIRMONT AVE, FAIRMONT, WV, 26554",-80.1478301,39.4804712,"300 fairmont ave, fairmont, wv 26554, usa",
"CVS 2580 CONSTITUTION BOULEVARD, BEAVER FALLS, PA, 15010",-80.3723238,40.7747437,"2580 constitution blvd, beaver falls, pa 15010, usa",
"CVS 2323 MURDOCH AVE, PARKERSBURG, WV, 26101",-81.5490589,39.2822066,"2323 murdoch ave, parkersburg, wv 26101, usa",
"CVS 7065 LINCOLN DRIVE, PHILADELPHIA, PA, 19119",-75.1932311,40.0540726,"7065 lincoln dr, philadelphia, pa 19119, usa",
"CVS 6344 STENTON AVENUE, PHILADELPHIA, PA, 19138",-75.1663616,40.0599125,"6344 stenton ave, philadelphia, pa 19138, usa",
"CVS 7700 GERMANTOWN AVE, PHILADELPHIA, PA, 19118",-75.1980379,40.067842,"7700 germantown ave, philadelphia, pa 19118, usa",
"CVS 242-250 FIFTH AVE, PITTSBURGH, PA, 15222",-80.0010683,40.4407114,"242-250 fifth ave, pittsburgh, pa 15222, usa",
"CVS 901 SUMNEYTOWN PIKE, SPRING HOUSE, PA, 19477",-75.2288251,40.1871371,"901 sumneytown pike, spring house, pa 19477, usa",
"CVS 159 N MACDADE BLVD, GLENOLDEN, PA, 19036",-75.2867754,39.9070114,"159 n macdade blvd, glenolden, pa 19036, usa",
"CVS 923 PROVIDENCE ROAD, SECANE, PA, 19018",-75.301631,39.9182757,"923 providence rd, secane, pa 19018, usa",
"CVS 702 CHESTER PIKE, PROSPECT PARK, PA, 19076",-75.3036049,39.8838641,"702 chester pike, prospect park, pa 19076, usa",
"CVS 1306 WEST MCDADE BOULEVARD, WOODLYN, PA, 19094",-75.3455107,39.8774153,"1306 w macdade blvd, woodlyn, pa 19094, usa",
"CVS 334 BALTIMORE PIKE, SPRINGFIELD, PA, 19064",-75.3204731,39.9220645,"the sparns center, 334 baltimore pike, springfield, pa 19064, usa",
"CVS 1937 E. MCDADE BLVD, RIDLEY, PA, 19094",-75.3566808,39.870147,"1937 w macdade blvd, woodlyn, pa 19094, usa",
"CVS 3110 ROUTE 38, MT LAUREL, NJ, 8054",-74.873286,39.9702014,"3110 nj-38, mt laurel township, nj 08054, usa",
"CVS HOLLY RAVINE PLAZA, CHERRY HILL, NJ, 8003",-74.9756113,39.8618628,"100 springdale rd, cherry hill, nj 08003, usa",
"CVS 508 HIGH STREET, MOUNT HOLLY, NJ, 8060",-74.795054,40.0046004,"508 high st, mt holly, nj 08060, usa",
