,...1,county,trade_name,account,license_type,expiration_date,lat,lon,address_full,publish_date,state,expired_y_n,edit,
28,18242,WASHINGTON,HARTS,63**7797,Cigarette Vending,2/28/25,40.36681809,-80.23653962,"112 3RD ST MC DONALD, PA 15057-1142",12/1/22,PA,ACTIVE,"lat, lon",
29,18420,WESTMORELAND,HEMPFIELD LEGION,65**7908,Cigarette Vending,2/28/25,40.26471778,-79.67278687,"227 Ladysmith Rd, Darragh, PA 15625",12/1/22,PA,ACTIVE,"lat, lon, address_full",West Hempfield American Legion Post 53
30,19499,WESTMORELAND,IRWIN COUNTRY CLUB,65**7908,Cigarette Vending,2/28/25,40.36387017,-79.70635905,"594 SIMPSON ROAD NORTH HUNTINGDON, PA 15642",12/1/22,PA,ACTIVE,"lat, lon, address_full",
31,19500,WESTMORELAND,IRWIN LEGION POST 259,65**7908,Cigarette Vending,2/28/25,40.33125222,-79.70808855,"359 Walnut St, Irwin, PA 15642",12/1/22,PA,ACTIVE,"lat, lon, address_full",American Legion in Irwin PA
32,20465,WASHINGTON,JIMMY GS,63**7797,Cigarette Vending,2/28/25,40.25301794,-80.18392766,"341 SOUTH CENTRAL AVE CANONSBURG, PA 15317",12/1/22,PA,ACTIVE,"lat, lon, address_full",North changed to south
33,22618,WASHINGTON,LABOR TEMPLE,63**7797,Cigarette Vending,2/28/25,40.25716056,-80.18539692,"15 S CENTRAL AVE CANONSBURG, PA 15317-1516",12/1/22,PA,ACTIVE,"lat, lon",
34,22811,WESTMORELAND,LARIMER VOL FIRE DEPT,65**7908,Cigarette Vending,2/28/25,40.3446713,-79.7261231,"1340 Brownstown Rd, Larimer, PA 15647",12/1/22,PA,ACTIVE,"lat, lon, address_full",Address for larimer vol fire dept
35,23124,WESTMORELAND,LEVEL GREEN FIRE HALL,65**7908,Cigarette Vending,2/28/25,40.39076972,-79.72898929,"536 HARRISON CITY ROAD LEVEL GREEN, PA 15085",12/1/22,PA,ACTIVE,"lat, lon",
36,23482,DAUPHIN,LISI OIL CO,70**8001,Cigarette/OTP Retail,2/28/23,40.55216776,-76.8060476,4175 RTE 209 ELIZABETHVILLE PA 17023,5/18/20,PA,EXPIRED,"lat, lon",
37,23483,DAUPHIN,LISI OIL CO,70**8002,Cigarette/OTP Retail,2/28/23,40.56764023,-76.7133575,25 MAIN ST LYKENS PA 17048-1141,5/18/20,PA,EXPIRED,"lat, lon",
38,23505,WASHINGTON,LITHUANIAN CLUB,63**7797,Cigarette Vending,2/29/24,40.11049004,-80.01235607,"151 MAIN ST BENTLEYVILLE, PA 15314-1528",12/1/22,PA,EXPIRED,"lat, lon",
39,24353,ALLEGHENY,MACS CONVENIENCE STORE 4200,70**8001,Cig/OTP Retail,2/28/21,40.47159425,-80.02733224,2903 BRIGHTON RD PITTSBURGH PA 15212-2609,5/18/20,PA,EXPIRED,"lat, lon",
40,24364,ALLEGHENY,MACS CONVENIENCE STORS 4201,70**8002,Cig/OTP Retail,2/28/21,40.49483759,-79.93673162,501 N MAIN ST SHARPSBURG PA 15215-2043,5/18/20,PA,EXPIRED,"lat, lon",
41,25569,WASHINGTON,MICHAELS,63**7797,Cigarette Vending,2/28/25,40.37117844,-80.230142,"341 E LINCOLN AVE MCDONALD, PA 15057-1457",12/1/22,PA,ACTIVE,"lat, lon",
42,25811,WASHINGTON,MINGO INN,63**7797,Cigarette Vending,2/29/24,40.18665681,-80.05524169,"RD#4 ROUTE 136 BOX 484 EIGHTY FOUR, PA 15330",12/1/22,PA,EXPIRED,"lat, lon",
43,26068,BEAVER,MONACA SUNOCO,70**8009,Cigarette/OTP Retail,2/28/25,40.67106532,-80.30984522,1479 BROADHEAD RD MONACA PA 15061,5/26/21,PA,ACTIVE,"lat, lon",
44,26117,ALLEGHENY,MONROEVILLE VFD,65**7908,Cigarette Vending,2/28/25,40.44643836,-79.75801219,"100 SECO RD MONROEVILLE, PA 15146-1418",12/1/22,PA,ACTIVE,"lat, lon",
45,26207,WASHINGTON,MOOSE CLUB #172,63**7797,Cigarette Vending,2/28/25,40.25255254,-80.00357258,"3545 WASHINGTON AVE FINLEYVILLE, PA 15332-1345",12/1/22,PA,ACTIVE,"lat, lon",
46,26571,ALLEGHENY,MUZZIS,63**7797,Cigarette Vending,2/28/25,40.39203174,-80.08792776,"408 2ND ST HEIDELBERG, PA 15106-4062",12/1/22,PA,ACTIVE,"lat, lon",
47,27802,WESTMORELAND,NORTH IRWIN VOL FIRE DEPT,65**7908,Cigarette Vending,2/28/25,40.33699681,-79.71003004,"29 Broadway Ave, North Irwin, PA 15642",12/1/22,PA,ACTIVE,"lat, lon, address_full",
48,28562,WASHINGTON,OUR GANG,63**7797,Cigarette Vending,2/28/25,40.02215703,-80.09252396,"1754 MAIN STREET BOX 481 MARIANNA, PA 15345",12/1/22,PA,ACTIVE,"lat, lon",The Lamphouse bar? Not sure
49,28574,BLAIR,OUTLET 1708,70**8002,Cig/OTP Retail,2/28/22,40.42471381,-78.42944348,1014 3RD AVE DUNCANSVILLE PA 16635-1348,5/26/21,PA,EXPIRED,"lat, lon",
50,28713,WESTMORELAND,PAINTERTOWN VFW,65**7908,Cigarette Vending,2/28/25,40.35730494,-79.70408903,"1010 TRAY RD IRWIN, PA 15642-8736",12/1/22,PA,ACTIVE,"lat, lon",
51,28953,PHILADELPHIA,PARADIES PLEASANT NEWS LLC,70**8001,Cig/OTP Retail,2/29/20,39.876255,-75.242962,BC CONNECTOR SPACE M18 PHILADELPHIA PA 19153,1/29/20,PA,EXPIRED,NA,This actually is the airport
52,28954,PHILADELPHIA,PARADIES PLEASANT NEWS LLC,70**8002,Cig/OTP Retail,2/29/20,39.876255,-75.242962,BC CONNECTOR SPACE M18 PHILADELPHIA PA 19153,1/29/20,PA,EXPIRED,NA,This actually is the airport
53,28955,PHILADELPHIA,PARADIES PLEASANT NEWS LLC,70**8006,Cig/OTP Retail,2/29/20,39.876255,-75.242962,BC CONNECTOR SPACE M18 PHILADELPHIA PA 19153,1/29/20,PA,EXPIRED,NA,This actually is the airport
54,28956,PHILADELPHIA,PARADIES PLEASANT NEWS LLC,70**8009,Cig/OTP Retail,2/29/20,39.876255,-75.242962,BC CONNECTOR SPACE M18 PHILADELPHIA PA 19153,1/29/20,PA,EXPIRED,NA,This actually is the airport
55,28957,PHILADELPHIA,PARADIES PLEASANT NEWS LLC,70**8010,Cig/OTP Retail,2/29/20,39.876255,-75.242962,BC CONNECTOR SPACE M18 PHILADELPHIA PA 19153,1/29/20,PA,EXPIRED,NA,This actually is the airport
56,30015,ALLEGHENY,POLISH AM CIT CLUB,63**7797,Cigarette Vending,2/28/25,40.39645834,-80.09063157,"811 PAUL ST CARNEGIE, PA 15106-3413",12/1/22,PA,ACTIVE,"lat, lon",
57,32333,MONROE,RITE AID 11063,70**8002,Cigarette/OTP Retail,2/29/24,40.98987522,-75.18834136,228 MAIN ST STROUDSBURG PA 18360-2502,5/26/21,PA,EXPIRED,"lat, lon",
58,32334,LACKAWANNA,RITE AID 11064,70**8006,Cigarette/OTP Retail,2/28/25,41.50743101,-75.57875762,791 SCRANTON CARBONDALE HWY EYNON PA 18403-1021,5/26/21,PA,ACTIVE,"lat, lon",
59,32337,LUZERNE,RITE AID 11081,70**8009,Cigarette/OTP Retail,2/28/25,41.28199326,-75.89779502,556 UNION ST WILKES BARRE PA 18709-1245,5/26/21,PA,ACTIVE,"lat, lon",
60,32506,NORTHUMBERLAND,RITE AID PHARMACY #00205,70**8006,Cig/OTP Retail,2/29/20,40.79066794,-76.55738114,26 W INDEPENDENCE ST SHAMOKIN PA 17872-5314,1/29/20,PA,EXPIRED,"lat, lon",
61,32508,SCHUYLKILL,RITE AID PHARMACY #00208,70**8009,Cig/OTP Retail,2/29/20,40.81997521,-76.20069181,15 S MAIN ST SHENANDOAH PA 17976-2332,1/29/20,PA,EXPIRED,"lat, lon",
