participant_id,study,task,contrast,Lin,Bartra
sub-GEO015,geo,IMAGE,standard_nonsmoke,-0.005817625886386785,-0.004125105829457079
sub-GEO015,geo,IMAGE,standard_smoke,-0.007784696127822665,-0.0028561757396355233
sub-GEO015,geo,IMAGE,standardSmoke_v_standardNonsmoke,-0.0019670702487388204,0.0012689300908584394
sub-GEO015,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,0.003673371091981653,0.0016885082499918042
sub-GEO015,geo,IMAGE,retailSmoke_v_retailNonsmoke,0.0007201169778858617,-6.970968504145293e-05
sub-GEO022,geo,IMAGE,retail_smoke_familiar,-0.005206598573923668,-0.002573251896902054
sub-GEO022,geo,IMAGE,rating,0.006295102314474183,0.006606690256508526
sub-GEO022,geo,IMAGE,retail_nonsmoke_unfamiliar,-0.005664815163994135,-0.003289952177703854
sub-GEO022,geo,IMAGE,personal_nonsmoke,-0.009308549766192315,-0.005252065930699817
sub-GEO022,geo,IMAGE,standard_nonsmoke,-0.004719572836723656,-0.0011273140488017982
sub-GEO022,geo,IMAGE,standard_smoke,-0.001095557094935443,0.0003905760179026687
sub-GEO022,geo,IMAGE,retail_nonsmoke_familiar,-0.008674669393577876,-0.005169732411161613
sub-GEO022,geo,IMAGE,retail_smoke_unfamiliar,-0.007880201697671141,-0.005731357411037959
sub-GEO022,geo,IMAGE,personal_smoke,-0.008284180853375775,-0.004281406935174873
sub-GEO022,geo,IMAGE,standardSmoke_v_standardNonsmoke,0.0036240157370569883,0.0015178900614765541
sub-GEO022,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,0.0034680708330249044,0.00259648051560823
sub-GEO022,geo,IMAGE,retailSmoke_v_retailNonsmoke,0.0006263421484956749,7.753764153586302e-05
sub-GEO033,geo,IMAGE,standard_smoke,0.002292415528443565,0.0008289577873702762
sub-GEO033,geo,IMAGE,rating,0.005998474410169246,0.0028293380333016204
sub-GEO033,geo,IMAGE,personal_nonsmoke,-0.0012143060952282906,0.0016293277762496256
sub-GEO033,geo,IMAGE,retail_smoke_familiar,-0.0013067056167749172,0.0008755854689862214
sub-GEO033,geo,IMAGE,retail_nonsmoke_unfamiliar,-0.0016955271994345683,0.002583862059499528
sub-GEO033,geo,IMAGE,standard_nonsmoke,-0.0024656574717183376,-0.004472057434765573
sub-GEO033,geo,IMAGE,retail_nonsmoke_familiar,-0.0013134706021820145,-0.0004549918858890359
sub-GEO033,geo,IMAGE,personal_smoke,-0.001324911012782668,0.00014836071282508005
sub-GEO033,geo,IMAGE,retail_smoke_unfamiliar,-0.0025560061201728612,0.0011210246039594762
sub-GEO033,geo,IMAGE,standardSmoke_v_standardNonsmoke,0.004758072999019265,0.005301015242264759
sub-GEO033,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,6.764985355825064e-06,0.0013305773425772581
sub-GEO033,geo,IMAGE,retailSmoke_v_retailNonsmoke,-0.00042685696505071657,-6.613006681823503e-05
sub-GEO036,geo,IMAGE,retail_smoke_familiar,-0.008380040792876315,-0.009906160033672066
sub-GEO036,geo,IMAGE,rating,-0.010230748954711376,-0.006298896783626184
sub-GEO036,geo,IMAGE,retail_nonsmoke_unfamiliar,-0.008142708643436183,-0.008265751411060576
sub-GEO036,geo,IMAGE,retail_nonsmoke_familiar,-0.0053559007241774995,-0.0062368414169384455
sub-GEO036,geo,IMAGE,standard_nonsmoke,-0.005233642880428373,-0.004147578333573461
sub-GEO036,geo,IMAGE,personal_nonsmoke,-0.007424361951360847,-0.00619379317994391
sub-GEO036,geo,IMAGE,standard_smoke,-0.005246472054464903,-0.004749617119223431
sub-GEO036,geo,IMAGE,retail_smoke_unfamiliar,-0.010461642485120076,-0.010657994846027623
sub-GEO036,geo,IMAGE,personal_smoke,-0.009746125939117568,-0.008356623274698832
sub-GEO036,geo,IMAGE,standardSmoke_v_standardNonsmoke,-1.2829173794022002e-05,-0.0006020387840888228
sub-GEO036,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,-0.0030241400735717167,-0.0036693186344442996
sub-GEO036,geo,IMAGE,retailSmoke_v_retailNonsmoke,-0.0026715369646766476,-0.003030781032704981
sub-GEO037,geo,IMAGE,retail_nonsmoke_familiar,-0.011571874994369116,-0.009591003411065339
sub-GEO037,geo,IMAGE,rating,0.0012494429042826608,-0.0018786531050884658
sub-GEO037,geo,IMAGE,personal_nonsmoke,-0.0065996523164439545,-0.0068462345916152885
sub-GEO037,geo,IMAGE,standard_smoke,-0.0013031991580566284,-0.0017083147916201553
sub-GEO037,geo,IMAGE,retail_smoke_unfamiliar,-0.007553602439236853,-0.00648535934430913
sub-GEO037,geo,IMAGE,personal_smoke,0.0015692116893854405,-0.0003174078758067448
sub-GEO037,geo,IMAGE,retail_nonsmoke_unfamiliar,-0.01880179172182089,-0.01474886742759659
sub-GEO037,geo,IMAGE,standard_nonsmoke,-0.008787342307750315,-0.008133960113698487
sub-GEO037,geo,IMAGE,retail_smoke_familiar,-0.006638709818955373,-0.009154868614013966
sub-GEO037,geo,IMAGE,standardSmoke_v_standardNonsmoke,0.007484143138777699,0.0064256453367243305
sub-GEO037,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,0.004933165179752734,0.00043613480090698523
sub-GEO037,geo,IMAGE,retailSmoke_v_retailNonsmoke,0.008090677213949442,0.00434982143957566
sub-GEO053,geo,IMAGE,retail_nonsmoke_familiar,0.008091263532856297,0.006083848946730889
sub-GEO053,geo,IMAGE,rating,0.01623004957512939,0.008174657941271101
sub-GEO053,geo,IMAGE,personal_nonsmoke,0.0002498793230589987,-0.0026508241482572723
sub-GEO053,geo,IMAGE,retail_smoke_familiar,0.0004710537607867262,0.0016377519353303995
sub-GEO053,geo,IMAGE,retail_nonsmoke_unfamiliar,-0.0043964945612927206,-0.00430437985592372
sub-GEO053,geo,IMAGE,standard_smoke,-0.00490486090048371,-0.006595458147985001
sub-GEO053,geo,IMAGE,personal_smoke,0.007646642642357806,0.003368925351431921
sub-GEO053,geo,IMAGE,retail_smoke_unfamiliar,0.00740411050280651,0.00460066520585978
sub-GEO053,geo,IMAGE,standard_nonsmoke,0.0035031449711492814,0.001168150778947155
sub-GEO053,geo,IMAGE,standardSmoke_v_standardNonsmoke,-0.008408005879603036,-0.0077636089185929265
sub-GEO053,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,-0.007620209780633207,-0.0044460970048130774
sub-GEO053,geo,IMAGE,retailSmoke_v_retailNonsmoke,0.0020901976478498946,0.0022294740255244952
sub-GEO061,geo,IMAGE,personal_nonsmoke,-0.002346658133613139,-0.005470254562912375
sub-GEO061,geo,IMAGE,rating,-0.002871562725335612,-0.0012600167882355368
sub-GEO061,geo,IMAGE,standard_nonsmoke,0.00025066953682467767,-4.8960725116597563e-05
sub-GEO061,geo,IMAGE,standard_smoke,0.0031541413912659195,0.005336847677073038
sub-GEO061,geo,IMAGE,retail_smoke_familiar,0.0022286332962816397,0.004943310407240591
sub-GEO061,geo,IMAGE,retail_nonsmoke_familiar,-0.0041185552939564975,-0.0040729409956702396
sub-GEO061,geo,IMAGE,personal_smoke,0.004751192882265973,0.005980011970151975
sub-GEO061,geo,IMAGE,retail_nonsmoke_unfamiliar,-0.00033790703473575206,-0.0018279211661717716
sub-GEO061,geo,IMAGE,retail_smoke_unfamiliar,-0.0044074656906231075,-0.004902806615267197
sub-GEO061,geo,IMAGE,standardSmoke_v_standardNonsmoke,0.002903471874773098,0.005385808418079182
sub-GEO061,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,0.006347188590256343,0.009016251395628729
sub-GEO061,geo,IMAGE,retailSmoke_v_retailNonsmoke,0.0011388149650763252,0.0029706829827916416
sub-GEO064,geo,IMAGE,standard_nonsmoke,0.005148969681387636,-0.0003989236617227712
sub-GEO064,geo,IMAGE,rating,0.01368366330701953,0.005052180550595117
sub-GEO064,geo,IMAGE,retail_smoke_familiar,0.0055203186210001035,0.007055024501511173
sub-GEO064,geo,IMAGE,retail_smoke_unfamiliar,0.005558875089052583,0.006533872649515569
sub-GEO064,geo,IMAGE,personal_smoke,0.011664681948447537,0.011483924244936805
sub-GEO064,geo,IMAGE,personal_nonsmoke,0.0013732748492987883,0.0023503905791435087
sub-GEO064,geo,IMAGE,standard_smoke,0.007100519175402458,0.005275463264464975
sub-GEO064,geo,IMAGE,retail_nonsmoke_familiar,0.0020743497968744623,0.0009819265632324053
sub-GEO064,geo,IMAGE,retail_nonsmoke_unfamiliar,0.006968967879795532,0.007741650808812692
sub-GEO064,geo,IMAGE,standardSmoke_v_standardNonsmoke,0.0019515495061075072,0.005674386912344052
sub-GEO064,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,0.003445968819058435,0.006073097942924302
sub-GEO064,geo,IMAGE,retailSmoke_v_retailNonsmoke,0.0010179380111309977,0.002432659899964717
sub-GEO068,geo,IMAGE,standard_smoke,0.0005956674375741314,0.001909392700166328
sub-GEO068,geo,IMAGE,rating,-0.0025987657248886793,0.0008395128403602744
sub-GEO068,geo,IMAGE,retail_smoke_unfamiliar,-0.0011186879903253408,-0.0016375419573445575
sub-GEO068,geo,IMAGE,retail_smoke_familiar,-0.006543470333748081,-0.005896882211037212
sub-GEO068,geo,IMAGE,personal_smoke,-0.0019951704225920196,-0.0006082731551636436
sub-GEO068,geo,IMAGE,retail_nonsmoke_familiar,-0.005193404890953962,-0.0022688790865387463
sub-GEO068,geo,IMAGE,retail_nonsmoke_unfamiliar,-0.0013994872341680474,0.0005292656629408343
sub-GEO068,geo,IMAGE,standard_nonsmoke,-0.00032281837819506055,-0.0011228403788805252
sub-GEO068,geo,IMAGE,personal_nonsmoke,-0.0004014229923259885,-0.0009419279432179171
sub-GEO068,geo,IMAGE,standardSmoke_v_standardNonsmoke,0.0009184857975312545,0.0030322330853918165
sub-GEO068,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,-0.0013500654762737617,-0.0036280031306748428
sub-GEO068,geo,IMAGE,retailSmoke_v_retailNonsmoke,-0.0005346331119568158,-0.0028974053814400146
sub-GEO073,geo,IMAGE,standard_smoke,0.00380095672449559,0.0011084362684750057
sub-GEO073,geo,IMAGE,rating,0.0023624165839545358,0.0028085213979998215
sub-GEO073,geo,IMAGE,retail_nonsmoke_unfamiliar,0.0011872757343366555,-0.00035525944566765883
sub-GEO073,geo,IMAGE,personal_smoke,0.006728903937759739,0.004476133233093375
sub-GEO073,geo,IMAGE,retail_smoke_familiar,0.0005332223558721698,0.0017531096803590752
sub-GEO073,geo,IMAGE,personal_nonsmoke,-0.0009731689267427428,-0.0014271110655623182
sub-GEO073,geo,IMAGE,standard_nonsmoke,-0.0003863350370161019,-0.0003904384985459314
sub-GEO073,geo,IMAGE,retail_smoke_unfamiliar,0.0008577383778733554,-0.00032956722621847376
sub-GEO073,geo,IMAGE,retail_nonsmoke_familiar,-0.00015050927796968414,-0.0034518420068960806
sub-GEO073,geo,IMAGE,standardSmoke_v_standardNonsmoke,0.004187291762443975,0.0014988747618485561
sub-GEO073,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,0.0006837316331641556,0.005204951688051182
sub-GEO073,geo,IMAGE,retailSmoke_v_retailNonsmoke,0.00017709713955119094,0.0026153219577787243
sub-GEO074,geo,IMAGE,retail_smoke_unfamiliar,-0.0005355127551612722,-0.0014824604347629178
sub-GEO074,geo,IMAGE,rating,0.006376359786424092,0.00043484116975322314
sub-GEO074,geo,IMAGE,retail_nonsmoke_unfamiliar,-0.0036750311180353988,-0.001154295812970222
sub-GEO074,geo,IMAGE,standard_nonsmoke,-0.006398536540628415,-0.004155103652927784
sub-GEO074,geo,IMAGE,retail_nonsmoke_familiar,-0.008987247656469253,-0.006348015618056058
sub-GEO074,geo,IMAGE,personal_smoke,0.004629940618420532,0.006308488435314504
sub-GEO074,geo,IMAGE,personal_nonsmoke,-0.004839541769109293,-0.0016292324710646732
sub-GEO074,geo,IMAGE,retail_smoke_familiar,-0.0028234478134812036,-0.0017103858205154822
sub-GEO074,geo,IMAGE,standard_smoke,-0.005325869338873789,-0.003932855104339607
sub-GEO074,geo,IMAGE,standardSmoke_v_standardNonsmoke,0.00107266719080379,0.00022224853506992
sub-GEO074,geo,IMAGE,retailSmokeFamiliar_v_retailNonsmokeFamiliar,0.006163799843302426,0.004637629799187319
sub-GEO074,geo,IMAGE,retailSmoke_v_retailNonsmoke,0.004651659097006558,0.0021547325948014858
